1840	Shapes get the same position as the reference shape.
1841	Distribute shapes horizontally at shape center
1842	Distribute shapes horizontally at left edge
1843	Distribute shapes horizontally at right edge
1844	Distribute shapes horizontally
1845	Insert shapes into group
1846	Fit shapes into cells
1847	Arrange shapes left
1848	Align shapes left
1849	Shapes with tags
1850	Arrange shapes centered
1851	Align shapes centered
1852	Arrange shapes centered on the first row
1853	Arrange shapes top
1854	Align shapes top
1855	Position shapes
1856	Arrange shapes right
1857	Align shapes right
1858	Rotate shapes and show flip
1859	Select shapes
1860	Scale shapes
1861	Scale shapes…
1862	Split or multiply shapes
1863	Split/multiply shapes…
1864	Arrange shapes bottom
1865	Align shapes bottom
1866	Hide shapes
1867	Hide/show shapes
1868	Distribute shapes vertically at shape center
1869	Distribute shapes vertically at top edge
1870	Distribute shapes vertically at bottom edge
1871	Distribute shapes vertically
1872	Shapes are aligned to the content area.\n\nThe content area corresponds to the area of the text placeholder on the reference slide.\n\nWith the CTRL key, this master is temporarily activated.
1873	Shapes are aligned to the first selected shape in the selection.
1874	Shapes are aligned to the last selected shape in the selection.
1875	Shapes are aligned to the outermost selected shape in the selection.
1876	Shapes are aligned to the slide.
1877	Shapes are aligned to a fixed area that is previously defined by the user.
1878	Shapes are inserted at their original coordinate positions
1879	Shapes are not arranged horizontally when arranging shapes in table cells/text paragraphs/shapes.
1880	Shapes are arranged horizontally centered when arranging shapes in table cells/text paragraphs/shapes.
1881	Shapes are arranged left when arranging shapes in table cells/text paragraphs/shapes.
1882	Shapes are arranged top when arranging shapes in table cells/text paragraphs/shapes.
1883	Shapes are arranged right when arranging shapes in table cells/text paragraphs/shapes.
1884	Shapes are arranged bottom when arranging shapes in table cells/text paragraphs/shapes.
1885	Shapes are not arranged vertically when arranging shapes in table cells/text paragraphs/shapes.
1886	Shapes are arranged vertically centered when arranging shapes in table cells/text paragraphs/shapes.
1887	Shapes are arranged vertically centered on the text in the first row when arranging shapes in table cells/text paragraphs/shapes.
