0	         \\u200b
1	       Abstand
2	   \\u200b
3	   mit ALT: Delta je Harvey Ball
4	   mit SHIFT: Schrittweite +/-25
5	  [ALT]: Text
6	 [STRG]: Linie
7	 value 
8	#ff33cc
9	%s%%
10	* Theme-Standardwert
11	... teilen
12	... vervielfachen
13	0 ein-/ausblenden
14	0-Werte verstecken
15	1x je Seite
16	2. Prozessschritt mit Kopfzeile
17	20% (Standard)
18	2x je Seite
19	3 zusätzliche Punkte je Rechtecktseite
20	3x je Seite
21	80% (sehr groß)
22	=\\u202F0
23	Abbrechen
24	Ablage
25	Ablage und Selektion
26	Absatz
27	Absatz (PPT-Standard)
28	Absatz kompakt (BKT)
29	Absatz-Format (Ausrichtung, Einzug, Listen, etc.)
30	Absatzabstand oben
31	Absatzabstand unten
32	Absatzeinzug
33	Absatzeinzug links
34	Absatzeinzug rechts
35	Absatzformat
36	Abschnitte einzeln speichern
37	Abschnitte für Agenda-Punkte erstellen
38	Abstand
39	Abstand bei Ausrichtung
40	Abstand bei Shape-Tabelle auf groß setzen
41	Abstand bei Shape-Tabelle auf klein setzen
42	Abstand bei Shape-Tabelle deaktivieren
43	Abstand einstellen durch:
44	Abstand gleichstellen:
45	Abstand und Rotation
46	Abstand von den jeweiligen Mittelpunkten anzeigen.
47	Abstand von linker Kante zu linker Kante anzeigen.
48	Abstand von oberer Kante zu oberer Kante anzeigen.
49	Abstand von rechter Kante zu linker Kante anzeigen.
50	Abstand von rechter Kante zu rechter Kante anzeigen.
51	Abstand von unterer Kante zu oberer Kante anzeigen.
52	Abstand von unterer Kante zu unterer Kante anzeigen.
53	Abstand von visueller rechter Kante zu visueller linker Kante. Hilfreich bei rotierten Shapes.
54	Abstand von visueller unterer Kante zu visueller oberer Kante anzeigen. Hilfreich bei rotierten Shapes.
55	Abstand zu Mittelpunkten
56	Abstand zu linken Kanten
57	Abstand zu oberen Kanten
58	Abstand zu rechten Kanten
59	Abstand zu unteren Kanten
60	Abstand/Rotation
61	Abstand/Winkel einzeln vom Zentrum zu Shapes (Standard)
62	Abstände/Winkel gleichmäßig zwischen Shapes verteilen
63	Abstände/Winkel immer um gleiche Differenz ändern [ALT]
64	Absätze:
65	Addin neu laden
66	Adresse selektieren…
67	Advanced Menu
